MatchID,Season,MatchWeek,Date,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,HomeTeamPoints,AwayTeamPoints,HomeGoalScoringForm,AwayGoalScoringForm,HomeGoalsConceded,AwayGoalsConceded,HomeWinningForm,AwayWinningForm,HomeRecentGoalScoringForm,HomeRecentGoalsConceded,HomeRecentWinningForm,AwayRecentGoalScoringForm,AwayRecentGoalsConceded,AwayRecentWinningForm,HomeDaysSinceLastMatch,AwayDaysSinceLastMatch,HomeEloBefore,HomeEloAfter,AwayEloBefore,HomeTiltBefore,AwayTiltBefore,Matchup,H2H_TotalMatches,H2H_HomeGoalsScored,H2H_AwayGoalsScored,H2H_HomeWinRate,HomeGoalDifferenceForm,AwayGoalDifferenceForm,HomeSeasonToDateGoalsScored,HomeSeasonToDateGoalsConceded,HomeSeasonToDateGoalDifference,HomeSeasonToDatePoints,AwaySeasonToDateGoalsScored,AwaySeasonToDateGoalsConceded,AwaySeasonToDateGoalDifference,AwaySeasonToDatePoints,HomeAvgShotsTaken,HomeAvgShotsOnTarget,HomeAvgCornersTaken,AwayAvgShotsTaken,AwayAvgShotsOnTarget,AwayAvgCornersTaken
2000-2001_Charlton_Man City,2000-2001,1,2000-08-19,Charlton,Man City,4,0,H,2.0,0.0,H,17.0,8.0,14.0,4.0,6.0,6.0,13.0,12.0,1.0,2.0,0.0,0.0,3,0,1.0,0.8,2.0,2.8,0.6,0.0,1.2,1.2,1.2,1.2,3.0,0.2,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Charlton vs Man City,0,0.0,0.0,0.0,0.0,-1.8,34.0,69.0,-35.0,34.0,52.0,85.0,-33.0,26.0,12.2,5.0,4.8,10.4,4.2,5.2
2000-2001_Chelsea_West Ham,2000-2001,1,2000-08-19,Chelsea,West Ham,4,2,H,1.0,0.0,H,17.0,12.0,10.0,5.0,7.0,7.0,19.0,14.0,1.0,2.0,0.0,0.0,3,0,0.8,1.8,0.6,2.6,1.6,0.8,1.0,2.2,0.4,1.0,2.4,0.2,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Chelsea vs West Ham,0,0.0,0.0,0.0,-1.2000000000000002,-1.4,34.0,60.0,-26.0,34.0,35.0,76.0,-41.0,26.0,8.0,3.4,5.4,12.0,3.4,5.8
2000-2001_Coventry_Middlesbrough,2000-2001,1,2000-08-19,Coventry,Middlesbrough,1,3,A,1.0,1.0,D,6.0,16.0,3.0,9.0,8.0,4.0,15.0,21.0,5.0,3.0,1.0,0.0,0,3,1.6,1.0,0.6,2.2,2.6,0.2,1.2,0.6,2.4,1.2,1.6,0.8,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Coventry vs Middlesbrough,0,0.0,0.0,0.0,0.6,-0.40000000000000013,64.0,43.0,21.0,69.0,44.0,54.0,-10.0,42.0,10.8,4.4,6.4,17.6,5.4,5.6
2000-2001_Derby_Southampton,2000-2001,1,2000-08-19,Derby,Southampton,2,2,D,1.0,2.0,A,6.0,13.0,4.0,6.0,5.0,8.0,11.0,13.0,1.0,1.0,0.0,0.0,1,1,1.6,0.8,0.8,3.0,2.2,0.0,2.0,1.2,1.8,0.8,3.2,0.0,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Derby vs Southampton,0,0.0,0.0,0.0,0.8,-2.4000000000000004,51.0,51.0,0.0,53.0,35.0,104.0,-69.0,16.0,16.0,6.4,4.2,12.2,3.2,4.4
2000-2001_Leeds_Everton,2000-2001,1,2000-08-19,Leeds,Everton,2,0,H,2.0,0.0,H,17.0,12.0,8.0,6.0,6.0,4.0,21.0,20.0,1.0,3.0,0.0,0.0,3,0,0.8,0.6,2.8,2.6,0.0,0.0,0.6,2.2,0.2,0.8,4.2,0.0,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Leeds vs Everton,0,0.0,0.0,0.0,-1.6,-3.4000000000000004,36.0,82.0,-46.0,22.0,20.0,89.0,-69.0,11.0,12.2,3.0,3.2,8.8,5.6,4.4
2000-2001_Leicester_Aston Villa,2000-2001,1,2000-08-19,Leicester,Aston Villa,0,0,D,0.0,0.0,D,5.0,5.0,4.0,3.0,5.0,4.0,12.0,12.0,2.0,3.0,0.0,0.0,1,1,1.2,2.0,3.6,1.0,0.4,1.8,1.2,3.0,0.2,1.6,1.4,1.6,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Leicester vs Aston Villa,0,0.0,0.0,0.0,-1.8,0.20000000000000018,48.0,78.0,-30.0,31.0,69.0,34.0,35.0,74.0,11.8,3.4,5.2,15.0,5.8,4.8
2000-2001_Liverpool_Bradford,2000-2001,1,2000-08-19,Liverpool,Bradford,1,0,H,0.0,0.0,D,16.0,3.0,10.0,2.0,6.0,1.0,8.0,8.0,1.0,1.0,0.0,0.0,3,0,0.8,1.4,1.4,1.6,1.2,1.2,1.2,1.4,1.4,1.2,1.2,1.4,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Liverpool vs Bradford,0,0.0,0.0,0.0,-0.19999999999999996,0.0,33.0,80.0,-47.0,25.0,58.0,46.0,12.0,56.0,8.8,3.0,3.2,11.0,3.2,5.0
2000-2001_Sunderland_Arsenal,2000-2001,1,2000-08-19,Sunderland,Arsenal,1,0,H,0.0,0.0,D,8.0,14.0,2.0,7.0,2.0,9.0,10.0,21.0,3.0,1.0,0.0,1.0,3,0,0.8,0.0,1.8,0.0,0.2,0.0,1.0,1.0,1.2,0.0,0.0,0.0,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Sunderland vs Arsenal,0,0.0,0.0,0.0,0.0,0.0,35.0,68.0,-33.0,33.0,0.0,0.0,0.0,0.0,7.8,3.6,1.4,,,
2000-2001_Tottenham_Ipswich,2000-2001,1,2000-08-19,Tottenham,Ipswich,3,1,H,2.0,1.0,H,20.0,15.0,6.0,5.0,3.0,4.0,14.0,13.0,0.0,0.0,0.0,0.0,3,0,1.2,0.4,1.2,2.8,0.8,0.2,0.2,2.0,0.0,0.6,2.6,0.8,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Tottenham vs Ipswich,0,0.0,0.0,0.0,-1.8,-2.0,28.0,56.0,-28.0,33.0,37.0,80.0,-43.0,34.0,12.6,4.2,4.2,10.4,2.8,5.2
2000-2001_Man United_Newcastle,2000-2001,1,2000-08-20,Man United,Newcastle,2,0,H,1.0,0.0,H,19.0,9.0,9.0,6.0,7.0,1.0,7.0,13.0,0.0,1.0,0.0,0.0,3,0,2.6,0.4,0.8,2.8,3.0,0.2,1.6,0.4,2.6,0.8,2.0,0.8,7.0,7.0,1500.0,0,1500.0,1.0,1.0,Man United vs Newcastle,0,0.0,0.0,0.0,1.2000000000000002,-1.2,72.0,44.0,28.0,71.0,27.0,53.0,-26.0,28.0,16.2,4.6,7.6,9.0,3.0,3.4
